Date,Open,High,Low,Close,Volume,Adj Close
2013-04-18,0.24,0.26,0.24,0.25,1992800,0.25
2013-04-17,0.25,0.26,0.24,0.25,3236600,0.25
2013-04-16,0.25,0.26,0.24,0.25,4746000,0.25
2013-04-15,0.26,0.26,0.22,0.24,8157700,0.24
2013-04-12,0.27,0.27,0.25,0.26,6647600,0.26
2013-04-11,0.23,0.27,0.23,0.27,9944900,0.27
2013-04-10,0.25,0.25,0.21,0.23,14369700,0.23
2013-04-09,0.25,0.26,0.24,0.25,5853300,0.25
2013-04-08,0.26,0.26,0.25,0.25,5861500,0.25
2013-04-05,0.27,0.27,0.26,0.26,6994500,0.26
2013-04-04,0.26,0.27,0.26,0.27,5528600,0.27
2013-04-03,0.27,0.27,0.25,0.26,2757700,0.26
2013-04-02,0.25,0.27,0.25,0.27,4571100,0.27
2013-04-01,0.25,0.25,0.25,0.25,4883500,0.25
2013-03-28,0.26,0.26,0.25,0.25,3635500,0.25
2013-03-27,0.26,0.27,0.25,0.26,4355000,0.26
2013-03-26,0.27,0.27,0.25,0.26,13314900,0.26
2013-03-25,0.28,0.28,0.27,0.27,10956600,0.27
2013-03-22,0.30,0.30,0.28,0.28,11192500,0.28
2013-03-21,0.30,0.35,0.30,0.30,4227300,0.30
2013-03-20,0.28,0.31,0.28,0.30,7291900,0.30
2013-03-19,0.28,0.29,0.27,0.27,4494800,0.27
2013-03-18,0.30,0.30,0.28,0.29,6556100,0.29
2013-03-15,0.30,0.32,0.29,0.30,4612700,0.30
2013-03-14,0.31,0.32,0.30,0.30,4141800,0.30
2013-03-13,0.32,0.32,0.31,0.31,4382100,0.31
2013-03-12,0.30,0.31,0.29,0.31,6907000,0.31
2013-03-11,0.29,0.30,0.28,0.29,4982600,0.29
2013-03-08,0.29,0.30,0.27,0.28,8914400,0.28
2013-03-07,0.28,0.32,0.28,0.28,7098000,0.28
2013-03-06,0.30,0.30,0.28,0.28,6710100,0.28
2013-03-05,0.31,0.31,0.29,0.30,7538900,0.30
2013-03-04,0.31,0.31,0.28,0.31,7239900,0.31
2013-03-01,0.32,0.35,0.30,0.32,9472600,0.32
2013-02-28,0.31,0.32,0.30,0.32,5752300,0.32
2013-02-27,0.32,0.32,0.29,0.30,4941800,0.30
2013-02-26,0.33,0.35,0.28,0.30,16294700,0.30
2013-02-25,0.28,0.34,0.28,0.33,13533500,0.33
2013-02-22,0.22,0.29,0.19,0.27,24687100,0.27
2013-02-21,0.29,0.29,0.20,0.22,35905800,0.22
2013-02-20,0.33,0.33,0.25,0.29,31331800,0.29
2013-02-19,0.30,0.39,0.30,0.32,27387200,0.32
2013-02-15,0.43,0.43,0.30,0.34,75595800,0.34
2013-02-14,0.44,0.46,0.40,0.44,14630000,0.44
2013-02-13,0.46,0.50,0.40,0.44,29805000,0.44
2013-02-12,0.42,0.47,0.42,0.47,19844100,0.47
2013-02-11,0.38,0.41,0.37,0.41,20272200,0.41
2013-02-08,0.37,0.41,0.33,0.36,34386900,0.36
2013-02-07,0.27,0.35,0.25,0.32,23982700,0.32
2013-02-06,0.31,0.32,0.26,0.27,26115300,0.27
2013-02-05,0.47,0.50,0.26,0.31,66218000,0.31
2013-02-04,0.34,0.50,0.34,0.43,54825900,0.43
2013-02-01,0.25,0.35,0.23,0.31,57881500,0.31
2013-01-31,0.18,0.23,0.17,0.22,39661900,0.22
2013-01-30,0.16,0.18,0.16,0.18,19900600,0.18
2013-01-29,0.15,0.16,0.15,0.16,15938800,0.16
2013-01-28,0.14,0.15,0.14,0.15,5069600,0.15
2013-01-25,0.14,0.14,0.14,0.14,6581300,0.14
2013-01-24,0.15,0.15,0.14,0.14,9145200,0.14
2013-01-23,0.15,0.15,0.13,0.14,10524300,0.14
2013-01-22,0.13,0.16,0.13,0.15,18035100,0.15
2013-01-18,0.14,0.14,0.12,0.12,20657900,0.12
2013-01-17,0.16,0.16,0.13,0.14,18951000,0.14
2013-01-16,0.14,0.15,0.14,0.15,25094700,0.15
2013-01-15,0.13,0.14,0.12,0.14,19837100,0.14
2013-01-14,0.12,0.13,0.12,0.13,15015900,0.13
2013-01-11,0.12,0.12,0.11,0.12,5911100,0.12
2013-01-10,0.11,0.12,0.11,0.11,2207200,0.11
2013-01-09,0.11,0.12,0.11,0.11,4464700,0.11
2013-01-08,0.12,0.12,0.11,0.11,4548900,0.11
2013-01-07,0.12,0.12,0.11,0.12,3650600,0.12
2013-01-04,0.12,0.12,0.11,0.11,6257500,0.11
2013-01-03,0.11,0.11,0.10,0.11,7246300,0.11
2013-01-02,0.11,0.11,0.10,0.10,3332200,0.10
2012-12-31,0.10,0.10,0.10,0.10,5898000,0.10
2012-12-28,0.10,0.10,0.10,0.10,3593100,0.10
2012-12-27,0.10,0.11,0.10,0.10,2593800,0.10
2012-12-26,0.11,0.11,0.10,0.10,1786800,0.10
2012-12-24,0.10,0.11,0.10,0.10,1200900,0.10
2012-12-21,0.10,0.11,0.10,0.10,3480700,0.10
2012-12-20,0.11,0.11,0.10,0.10,8648700,0.10
2012-12-19,0.11,0.11,0.10,0.11,3828200,0.11
2012-12-18,0.12,0.12,0.11,0.11,7527800,0.11
2012-12-17,0.12,0.12,0.12,0.12,7644700,0.12
2012-12-14,0.12,0.12,0.11,0.12,6214500,0.12
2012-12-13,0.11,0.12,0.11,0.11,10036000,0.11
2012-12-12,0.11,0.11,0.10,0.11,7682400,0.11
2012-12-11,0.11,0.11,0.10,0.10,3909300,0.10
2012-12-10,0.11,0.11,0.10,0.10,6041700,0.10
2012-12-07,0.11,0.11,0.10,0.11,13467700,0.11
2012-12-06,0.11,0.11,0.10,0.11,7481300,0.11
2012-12-05,0.11,0.11,0.10,0.10,8091900,0.10
2012-12-04,0.09,0.10,0.08,0.10,10563800,0.10
2012-12-03,0.08,0.09,0.07,0.08,7090400,0.08
2012-11-30,0.08,0.09,0.07,0.08,8043400,0.08
2012-11-29,0.09,0.09,0.08,0.08,8513900,0.08
2012-11-28,0.09,0.09,0.08,0.09,12973400,0.09
2012-11-27,0.11,0.11,0.09,0.09,8290800,0.09
2012-11-26,0.11,0.11,0.10,0.11,5070000,0.11
2012-11-23,0.11,0.11,0.10,0.10,3645800,0.10
2012-11-21,0.11,0.11,0.10,0.10,9027900,0.10
2012-11-20,0.11,0.12,0.11,0.11,5795700,0.11
2012-11-19,0.13,0.13,0.11,0.12,8268000,0.12
2012-11-16,0.13,0.13,0.11,0.12,11089400,0.12
2012-11-15,0.13,0.14,0.12,0.13,25859900,0.13
2012-11-14,0.10,0.12,0.09,0.12,13350000,0.12
2012-11-13,0.09,0.10,0.08,0.09,14809200,0.09
2012-11-12,0.12,0.12,0.09,0.09,13369500,0.09
2012-11-09,0.13,0.14,0.11,0.11,11108900,0.11
2012-11-08,0.14,0.15,0.12,0.13,14492000,0.13
2012-11-07,0.14,0.16,0.13,0.14,30401500,0.14
2012-11-06,0.13,0.13,0.10,0.11,10122400,0.11
2012-11-05,0.13,0.13,0.10,0.12,13490900,0.12
2012-11-02,0.12,0.14,0.12,0.13,7905300,0.13
2012-11-01,0.16,0.16,0.10,0.12,13260000,0.12
2012-10-31,0.14,0.15,0.13,0.14,10672700,0.14
2012-10-26,0.14,0.16,0.11,0.13,30102300,0.13
2012-10-25,0.12,0.14,0.12,0.14,20827900,0.14
2012-10-24,0.10,0.12,0.10,0.12,10803000,0.12
2012-10-23,0.10,0.10,0.09,0.10,9023500,0.10
2012-10-22,0.09,0.09,0.08,0.09,10412400,0.09
2012-10-19,0.08,0.09,0.08,0.09,14637700,0.09
2012-10-18,0.09,0.09,0.07,0.08,3802900,0.08
2012-10-17,0.09,0.09,0.08,0.08,8782900,0.08
2012-10-16,0.08,0.09,0.07,0.09,10695500,0.09
2012-10-15,0.06,0.08,0.06,0.07,9597900,0.07
2012-10-12,0.06,0.06,0.05,0.06,2786500,0.06
2012-10-11,0.06,0.06,0.05,0.06,1283500,0.06
2012-10-10,0.05,0.05,0.05,0.05,1055600,0.05
2012-10-09,0.06,0.06,0.05,0.05,830300,0.05
2012-10-08,0.05,0.06,0.05,0.05,615000,0.05
2012-10-05,0.05,0.05,0.05,0.05,1484400,0.05
2012-10-04,0.06,0.06,0.05,0.05,1200900,0.05
2012-10-03,0.06,0.06,0.05,0.06,2605200,0.06
2012-10-02,0.05,0.05,0.05,0.05,6336100,0.05
2012-10-01,0.06,0.06,0.05,0.05,1798400,0.05
2012-09-28,0.06,0.06,0.05,0.06,2961300,0.06
2012-09-27,0.06,0.06,0.06,0.06,3019400,0.06
2012-09-26,0.06,0.06,0.06,0.06,2295700,0.06
2012-09-25,0.06,0.06,0.06,0.06,2461000,0.06
2012-09-24,0.06,0.06,0.06,0.06,3435200,0.06
2012-09-21,0.06,0.07,0.06,0.06,4166100,0.06
2012-09-20,0.06,0.06,0.06,0.06,2944800,0.06
2012-09-19,0.06,0.06,0.06,0.06,1747300,0.06
2012-09-18,0.05,0.06,0.05,0.06,2976100,0.06
2012-09-17,0.07,0.07,0.05,0.05,13492300,0.05
2012-09-14,0.07,0.07,0.07,0.07,2096000,0.07
2012-09-13,0.07,0.07,0.06,0.06,3842800,0.06
2012-09-12,0.06,0.06,0.06,0.06,1364500,0.06
2012-09-11,0.06,0.06,0.06,0.06,2628400,0.06
2012-09-10,0.06,0.07,0.06,0.06,2167400,0.06
2012-09-07,0.06,0.06,0.06,0.06,3124400,0.06
2012-09-06,0.07,0.07,0.06,0.06,3448600,0.06
2012-09-05,0.05,0.06,0.05,0.06,7970100,0.06
2012-09-04,0.05,0.06,0.05,0.05,1693700,0.05
2012-08-31,0.05,0.05,0.05,0.05,1327600,0.05
2012-08-30,0.05,0.05,0.05,0.05,1101200,0.05
2012-08-29,0.05,0.05,0.05,0.05,2679600,0.05
2012-08-28,0.05,0.06,0.04,0.05,9469600,0.05
2012-08-27,0.06,0.06,0.05,0.06,4701500,0.06
2012-08-24,0.05,0.05,0.05,0.05,5199000,0.05
2012-08-23,0.05,0.05,0.04,0.05,3784200,0.05
2012-08-22,0.05,0.05,0.04,0.05,2452800,0.05
2012-08-21,0.05,0.05,0.04,0.05,4815400,0.05
2012-08-20,0.05,0.05,0.04,0.05,4400000,0.05
2012-08-17,0.05,0.05,0.04,0.05,3140900,0.05
2012-08-16,0.05,0.06,0.05,0.05,10271000,0.05
2012-08-15,0.04,0.05,0.04,0.05,13698000,0.05
2012-08-14,0.04,0.04,0.03,0.03,2527600,0.03
2012-08-13,0.04,0.04,0.03,0.03,2784300,0.03
2012-08-10,0.03,0.04,0.03,0.03,2707100,0.03
2012-08-09,0.04,0.04,0.03,0.03,8052000,0.03
2012-08-08,0.03,0.04,0.03,0.04,7237600,0.04
2012-08-07,0.03,0.03,0.03,0.03,4164500,0.03
2012-08-06,0.03,0.03,0.03,0.03,642500,0.03
2012-08-03,0.03,0.03,0.03,0.03,1268400,0.03
2012-08-02,0.03,0.03,0.03,0.03,1484900,0.03
2012-08-01,0.03,0.03,0.03,0.03,2089800,0.03
2012-07-31,0.03,0.03,0.03,0.03,748200,0.03
2012-07-30,0.03,0.03,0.03,0.03,887200,0.03
2012-07-27,0.03,0.03,0.03,0.03,686700,0.03
2012-07-26,0.03,0.03,0.03,0.03,1655000,0.03
2012-07-25,0.03,0.03,0.03,0.03,452200,0.03
